project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
Humanitarian Assistance in Syria,HUMANITARIAN ASSISTANCE IN SYRIA,"Health, Logistics Support and Relief Commodities, Protection, Water, Sanitation, and Hygiene, and Economic Recovery and Market Systems in Syria.",Yes,0.995869696140289
WFP : Yemen pledge,WFP : YEMEN PLEDGE,Emergency allocation to (WFP) in Jemen to help address life-threatening food shortages in the country.,Yes,0.995608508586884
Framework Agreement between the Ministry for Foreign Affairs and the Icelandic Red Cross on International Humanitarian Assistance 2018-2020,FRAMEWORK AGREEMENT BETWEEN THE MINISTRY FOR FOREIGN AFFAIRS AND THE ICELANDIC RED CROSS ON INTERNATIONAL HUMANITARIAN ASSISTANCE 2018-2020,"The Agreement is aimed at enhancing IRC effectiveness and performance in regard to humanitarian assistance in cooperation with the International Committee of the Red Cross (ICRC) and the International Federation of Red Cross and Red Crescent Societies (IFRC), as well as other leading international organisations in this field, such as the United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA) which is a key institution in coordinating humanitarian assistance. At the same time, an endeavour is made to enhance the predictability of IRC humanitarian assistance funding and facilitate its long-term planning with the aim to increase the impact of assistance to vulnerable people. The aim is to promote professional activities and impact of the IRC through the conclusion of this Framework Agreement.",Yes,0.99535059928894
"OCHA - CBPF, Lebanon - Syria pledge","OCHA - CBPF, LEBANON - SYRIA PLEDGE","Country-Based Pooled Fund allocation, i.e. the Lebnon Humanitarian Fund (LHF) managed by UN OCHA. The Government of Iceland announced a three year pledge for 2018-2020 at the Brussels Conference. The pledge forms part of a larger pledge for the Syria crisis.",Yes,0.995057344436646
Mercy Corps Somalia Emergency Food and Shelter Program (EFSP) - 2015 Award (Yobe State),MERCY CORPS SOMALIA EMERGENCY FOOD AND SHELTER PROGRAM (EFSP) - 2015 AWARD (YOBE STATE),Mercy Corps Somalia Emergency Food and Shelter Program (EFSP) - 2015 Award (Yobe State),Yes,0.995011210441589
"WFP operation in Tanzania, 2016-2018","WFP OPERATION IN TANZANIA, 2016-2018",WFP operation in Tanzania 2106-2017,Yes,0.994865596294403
Humanitarian Assistance,HUMANITARIAN ASSISTANCE,"Humanitarian Assistance through the Department of Defense's Overseas Humanitarian, Disaster and Civic Aid (OHDCA).",Yes,0.994673728942871
Julia Taft Refugee Fund: Allotment/Unspecified,JULIA TAFT REFUGEE FUND: ALLOTMENT/UNSPECIFIED,"United States Population Migration and Refugee Assistance, Appropriation 1143. Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [U.S. Government - Department of State]",Yes,0.994536161422729
Humanitarian aid in developing countries,HUMANITARIAN AID IN DEVELOPING COUNTRIES,Humanitarian aid in developing countries - NGOs inititatives financed through call for proposals,Yes,0.994474709033966
Crisis Assistance and Recovery - Title II International Food Relief Parnerships,CRISIS ASSISTANCE AND RECOVERY - TITLE II INTERNATIONAL FOOD RELIEF PARNERSHIPS,"Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.",Yes,0.99439263343811
